code,region1,region2,region3,name,fullName,nx,ny,latitude,longitude
SEOUL,서울특별시,,,서울특별시,서울특별시,60,127,37.5665,126.9780
BUSAN,부산광역시,,,부산광역시,부산광역시,98,76,35.1796,129.0756
DAEGU,대구광역시,,,대구광역시,대구광역시,89,90,35.8714,128.6014
INCHEON,인천광역시,,,인천광역시,인천광역시,55,124,37.4563,126.7052
GWANGJU,광주광역시,,,광주광역시,광주광역시,58,74,35.1595,126.8526
DAEJEON,대전광역시,,,대전광역시,대전광역시,67,100,36.3504,127.3845
ULSAN,울산광역시,,,울산광역시,울산광역시,102,84,35.5384,129.3114
SEJONG,세종특별자치시,,,세종특별자치시,세종특별자치시,66,103,36.4800,127.2890
JEJU,제주특별자치도,,,제주특별자치도,제주특별자치도,52,38,33.4996,126.5312
KMA_4128551000,경기도,고양시일산서구,일산1동,일산1동,경기도 고양시일산서구 일산1동,56,129,37.6821,126.7698
KMA_4128552000,경기도,고양시일산서구,일산2동,일산2동,경기도 고양시일산서구 일산2동,56,129,37.6848,126.7775
KMA_4128553000,경기도,고양시일산서구,일산3동,일산3동,경기도 고양시일산서구 일산3동,56,129,37.6760,126.7700
KMA_4128151000,경기도,고양시일산동구,식사동,식사동,경기도 고양시일산동구 식사동,57,129,37.6778,126.8121
KMA_4128152000,경기도,고양시일산동구,중산동,중산동,경기도 고양시일산동구 중산동,57,129,37.6941,126.7806
KMA_4128153000,경기도,고양시일산동구,정발산동,정발산동,경기도 고양시일산동구 정발산동,56,129,37.6734,126.7795
KMA_4128154000,경기도,고양시일산동구,풍산동,풍산동,경기도 고양시일산동구 풍산동,57,129,37.6707,126.7993
KMA_4128155000,경기도,고양시일산동구,백석1동,백석1동,경기도 고양시일산동구 백석1동,57,128,37.6427,126.7880
KMA_4128156000,경기도,고양시일산동구,백석2동,백석2동,경기도 고양시일산동구 백석2동,57,128,37.6437,126.7810
KMA_4128157000,경기도,고양시일산동구,마두1동,마두1동,경기도 고양시일산동구 마두1동,56,128,37.6531,126.7836
KMA_4128158000,경기도,고양시일산동구,마두2동,마두2동,경기도 고양시일산동구 마두2동,56,128,37.6535,126.7783
KMA_4128159000,경기도,고양시일산동구,장항1동,장항1동,경기도 고양시일산동구 장항1동,56,128,37.6422,126.7664
KMA_4128160000,경기도,고양시일산동구,장항2동,장항2동,경기도 고양시일산동구 장항2동,56,128,37.6558,126.7701
KMA_4128161000,경기도,고양시일산동구,고봉동,고봉동,경기도 고양시일산동구 고봉동,57,130,37.7006,126.8271
KMA_4128751000,경기도,고양시덕양구,주교동,주교동,경기도 고양시덕양구 주교동,57,128,37.6586,126.8351
KMA_4128752000,경기도,고양시덕양구,원신동,원신동,경기도 고양시덕양구 원신동,58,129,37.6757,126.8731
KMA_4128753000,경기도,고양시덕양구,흥도동,흥도동,경기도 고양시덕양구 흥도동,58,128,37.6468,126.8679
KMA_4128754000,경기도,고양시덕양구,성사1동,성사1동,경기도 고양시덕양구 성사1동,57,128,37.6535,126.8425
KMA_4128755000,경기도,고양시덕양구,성사2동,성사2동,경기도 고양시덕양구 성사2동,57,128,37.6480,126.8403
